iter	RMSE
0	40.36973523
1	38.84210658
2	37.39894113
3	36.05270726
4	34.80994022
5	33.54812714
6	32.36381875
7	31.2548452
8	30.22415773
9	29.21925165
10	28.27660753
11	27.3677507
12	26.54947633
13	25.73732033
14	25.00885135
15	24.33002566
16	23.69438532
17	23.13001585
18	22.56422912
19	22.02224763
20	21.48243394
21	20.98678636
22	20.50273707
23	20.03724099
24	19.59266792
25	19.18926528
26	18.82316319
27	18.4715279
28	18.12420131
29	17.80927643
30	17.51276895
31	17.25407563
32	17.00130185
33	16.71118471
34	16.43758048
35	16.2281735
36	16.01350885
37	15.78343712
38	15.58584031
39	15.3692615
40	15.17915913
41	14.99956581
42	14.8278381
43	14.68468394
44	14.51372697
45	14.35958902
46	14.22382865
47	14.08681199
48	13.95889832
49	13.82231387
50	13.68954872
51	13.58152423
52	13.47247882
53	13.36506772
54	13.26616176
55	13.16675307
56	13.06636078
57	12.94134954
58	12.82941145
59	12.70683519
60	12.61071073
61	12.53853036
62	12.47395517
63	12.40093548
64	12.33250186
65	12.2810947
66	12.21200439
67	12.14946642
68	12.07567664
69	12.02288902
70	11.96694639
71	11.87468404
72	11.83875017
73	11.79874336
74	11.74667076
75	11.68870284
76	11.65143616
77	11.62170345
78	11.58643541
79	11.52734607
80	11.49657724
81	11.44283939
82	11.4009858
83	11.35335737
84	11.32169955
85	11.26367567
86	11.21642316
87	11.17716704
88	11.14850989
89	11.11812672
90	11.09007191
91	11.04652256
92	11.00817138
93	10.97359771
94	10.94656083
95	10.92902881
96	10.90551663
97	10.8613686
98	10.84177994
99	10.82905669
100	10.80765779
101	10.7874249
102	10.75946214
103	10.74511198
104	10.7158372
105	10.68568254
106	10.66449396
107	10.6337544
108	10.59262035
109	10.57984851
110	10.56695612
111	10.55537865
112	10.5308739
113	10.49989865
114	10.47419621
115	10.43482431
116	10.40034788
117	10.38551105
118	10.35986874
119	10.32204036
120	10.31444793
121	10.29432673
122	10.26608574
123	10.22769361
124	10.21156884
125	10.18665514
126	10.16051239
127	10.12741063
128	10.09501831
129	10.07697341
130	10.05540932
131	10.03977938
132	10.01754231
133	10.0026312
134	9.96684505
135	9.953537727
136	9.94332869
137	9.905515207
138	9.870090259
139	9.856537599
140	9.842160291
141	9.82010309
142	9.798681494
143	9.783300372
144	9.748956747
145	9.741112702
146	9.728861365
147	9.707916874
148	9.699019234
149	9.675457125
150	9.662501735
151	9.645717
152	9.617532908
153	9.605286014
154	9.587344714
155	9.575999044
156	9.56512732
157	9.553907078
158	9.54039395
159	9.510869344
160	9.499232116
161	9.490436385
162	9.461871386
163	9.453814729
164	9.438865192
165	9.419182642
166	9.403126499
167	9.39151207
168	9.374222466
169	9.351875903
170	9.33101797
171	9.323212205
172	9.301778454
173	9.283860446
174	9.269723707
175	9.245724503
176	9.225416111
177	9.210866955
178	9.200019816
179	9.192690858
180	9.183058512
181	9.17580384
182	9.15976229
183	9.147652305
184	9.133953616
185	9.121767338
186	9.107586638
187	9.101366511
188	9.086392277
189	9.067474677
190	9.058524215
191	9.043033277
192	9.021704712
193	9.012644542
194	8.992084731
195	8.967149471
196	8.942018721
197	8.923955102
198	8.906816385
199	8.896096716
200	8.878720366
201	8.873007849
202	8.851019147
203	8.841417859
204	8.822730825
205	8.811624314
206	8.797711109
207	8.791873174
208	8.781353544
209	8.769824927
210	8.754222061
211	8.736305819
212	8.725214685
213	8.718599211
214	8.70582499
215	8.69540102
216	8.687847705
217	8.681154837
218	8.666366801
219	8.649578861
220	8.639769053
221	8.627913984
222	8.617999875
223	8.608019231
224	8.594794251
225	8.586620478
226	8.578988464
227	8.574027818
228	8.563494776
229	8.550072923
230	8.540891892
231	8.53075828
232	8.516788715
233	8.504080765
234	8.490086184
235	8.483034649
236	8.476785598
237	8.467252615
238	8.462067714
239	8.446998521
240	8.440907311
241	8.433495724
242	8.414056786
243	8.400032648
244	8.390789603
245	8.376025836
246	8.367039143
247	8.360167449
248	8.350254278
249	8.338614718
250	8.327983386
251	8.322289562
252	8.306922169
253	8.293920587
254	8.284648996
255	8.274058642
256	8.266489015
257	8.248713097
258	8.2374991
259	8.231078984
260	8.216982809
261	8.201671952
262	8.191639524
263	8.188435637
264	8.179434757
265	8.170405769
266	8.16835931
267	8.152420482
268	8.142463473
269	8.132725225
270	8.12525941
271	8.110620385
272	8.102315005
273	8.099954109
274	8.094788623
275	8.083174241
276	8.074727023
277	8.068399191
278	8.060058819
279	8.05053923
280	8.041786412
281	8.035572577
282	8.017275848
283	8.012475338
284	8.007404527
285	8.001350929
286	7.991475971
287	7.98083188
288	7.971910718
289	7.964522488
290	7.950878854
291	7.94443679
292	7.941262241
293	7.932329901
294	7.926839915
295	7.914977403
296	7.910053208
297	7.903486313
298	7.891851348
299	7.883420466
300	7.877527488
301	7.871033149
302	7.863521971
303	7.857001129
304	7.847100073
305	7.838730062
306	7.824586751
307	7.815485214
308	7.810764461
309	7.799669232
310	7.794505871
311	7.780343361
312	7.770985304
313	7.755449173
314	7.749799226
315	7.74583693
316	7.740432011
317	7.733152519
318	7.723497026
319	7.710946965
320	7.70289135
321	7.699567434
322	7.688046491
323	7.682922562
324	7.680307796
325	7.675384461
326	7.669057537
327	7.664644129
328	7.655985033
329	7.650533268
330	7.64266205
331	7.638689573
332	7.627634918
333	7.619255122
334	7.608484997
335	7.602254732
336	7.596144974
337	7.592251876
338	7.586369094
339	7.581098734
340	7.576903214
341	7.566863876
342	7.55857488
343	7.551894968
344	7.54690047
345	7.53607926
346	7.526230453
347	7.522853197
