iter	Passed	Remaining
0	2	2603
1	4	2263
2	6	2120
3	10	2625
4	14	2791
5	16	2662
6	17	2547
7	19	2460
8	21	2386
9	23	2319
10	25	2258
11	28	2336
12	30	2308
13	32	2259
14	33	2224
15	35	2197
16	38	2209
17	40	2195
18	42	2181
19	45	2212
20	46	2188
21	48	2167
22	50	2141
23	52	2121
24	54	2110
25	56	2100
26	63	2304
27	65	2288
28	67	2270
29	69	2251
30	71	2230
31	73	2217
32	80	2354
33	83	2360
34	84	2340
35	86	2318
36	88	2297
37	90	2279
38	92	2285
39	95	2290
40	97	2290
41	101	2307
42	103	2296
43	104	2279
44	106	2262
45	110	2300
46	113	2298
47	115	2287
48	117	2275
49	119	2261
50	120	2247
51	122	2237
52	126	2257
53	128	2249
54	130	2235
55	132	2231
56	134	2218
57	136	2210
58	138	2202
59	141	2218
60	143	2205
61	144	2192
62	146	2180
63	148	2167
64	149	2157
65	151	2146
66	153	2136
67	157	2154
68	159	2148
69	161	2140
70	162	2129
71	164	2119
72	166	2117
73	168	2113
74	172	2125
75	174	2117
76	176	2110
77	177	2101
78	179	2091
79	181	2083
80	182	2075
81	185	2073
82	188	2079
83	189	2070
84	192	2071
85	194	2063
86	196	2058
87	197	2050
88	199	2041
89	201	2033
90	204	2041
91	206	2033
92	207	2026
93	209	2021
94	211	2017
95	216	2034
96	218	2029
97	220	2026
98	221	2018
99	223	2011
100	229	2045
101	232	2044
102	235	2052
103	237	2049
104	240	2051
105	242	2045
106	244	2041
107	246	2035
108	248	2030
109	251	2034
110	253	2028
111	255	2024
112	257	2017
113	258	2010
114	260	2003
115	261	1996
116	263	1990
117	266	1993
118	268	1987
119	270	1983
120	272	1978
121	275	1980
122	277	1975
123	278	1969
124	280	1965
125	283	1963
126	285	1960
127	287	1960
128	289	1955
129	291	1949
130	292	1943
131	294	1937
132	297	1942
133	299	1937
134	301	1931
135	303	1925
136	304	1919
137	306	1916
138	309	1915
139	311	1911
140	313	1912
141	315	1907
142	317	1903
143	319	1899
144	322	1901
145	325	1905
146	330	1919
147	332	1915
148	334	1909
149	335	1903
150	337	1900
151	340	1897
152	342	1893
153	346	1903
154	349	1903
155	351	1899
156	353	1896
157	355	1891
158	356	1887
159	359	1884
160	361	1883
161	363	1879
162	365	1875
163	367	1873
164	369	1872
165	371	1868
166	373	1864
167	376	1866
168	378	1861
169	380	1858
170	383	1857
171	384	1852
172	386	1848
173	388	1843
174	392	1848
175	393	1843
176	395	1839
177	397	1833
178	398	1829
179	400	1823
180	402	1819
181	403	1815
182	407	1819
183	409	1818
184	412	1816
185	414	1815
186	417	1813
187	419	1811
188	423	1816
189	425	1814
190	427	1812
191	430	1810
192	432	1808
193	435	1808
194	439	1814
195	480	1970
196	485	1979
197	489	1983
198	491	1980
199	494	1976
200	496	1973
201	498	1970
202	501	1967
203	504	1967
204	506	1964
205	508	1961
206	511	1958
207	513	1954
208	528	1999
209	530	1997
210	539	2017
211	542	2014
212	544	2011
213	546	2007
214	548	2003
215	552	2006
216	555	2002
217	557	1998
218	559	1995
219	562	1992
220	564	1989
221	595	2086
222	597	2082
223	601	2083
224	603	2079
225	606	2075
226	608	2071
227	610	2066
228	612	2063
229	615	2059
230	619	2060
231	621	2056
232	623	2053
233	626	2049
234	702	2285
235	704	2280
236	706	2275
237	709	2270
238	711	2264
239	713	2259
240	717	2259
241	720	2256
242	722	2251
243	725	2246
244	727	2241
245	729	2236
246	732	2233
247	737	2237
248	740	2232
249	781	2345
250	784	2340
251	786	2334
252	788	2329
253	791	2323
254	794	2319
255	798	2321
256	801	2316
257	803	2311
258	806	2306
259	827	2354
260	831	2354
261	834	2349
262	836	2342
263	837	2335
264	839	2327
265	840	2319
266	842	2311
267	843	2304
268	847	2303
269	849	2297
270	851	2290
271	853	2283
272	855	2276
273	856	2270
274	858	2264
275	862	2263
276	864	2256
277	866	2250
278	868	2244
279	870	2237
280	871	2230
281	873	2224
282	875	2217
283	878	2214
284	880	2207
285	881	2200
286	883	2194
287	884	2187
288	886	2181
289	888	2175
290	890	2168
291	893	2165
292	895	2159
293	896	2153
294	898	2147
295	900	2142
296	902	2136
297	904	2129
298	905	2123
299	907	2118
300	909	2113
301	911	2106
302	913	2100
303	915	2095
304	917	2089
305	919	2084
306	921	2079
307	924	2077
308	926	2072
309	929	2067
310	931	2063
311	933	2058
312	935	2053
313	937	2048
314	941	2047
315	943	2043
316	946	2039
317	949	2035
318	952	2032
319	956	2032
320	959	2029
321	962	2026
322	965	2022
323	967	2018
324	969	2012
325	972	2010
326	974	2005
327	976	2000
328	978	1995
329	980	1991
330	983	1986
331	985	1982
332	989	1981
333	991	1976
334	993	1972
335	996	1968
336	998	1964
337	1000	1959
338	1004	1959
339	1007	1955
340	1009	1950
341	1011	1946
342	1014	1942
343	1016	1938
344	1019	1935
345	1021	1931
346	1024	1927
347	1027	1924
348	1029	1920
349	1031	1915
350	1035	1915
351	1039	1913
352	1042	1910
353	1045	1907
354	1048	1905
355	1052	1903
356	1054	1899
357	1057	1896
358	1060	1893
359	1062	1889
360	1066	1887
361	1068	1883
362	1070	1878
363	1072	1874
364	1074	1869
365	1076	1864
366	1079	1861
367	1082	1859
368	1084	1854
369	1085	1849
370	1087	1843
371	1089	1838
372	1090	1833
373	1092	1828
374	1094	1823
375	1097	1821
376	1099	1816
377	1101	1811
378	1103	1807
379	1105	1803
380	1106	1798
381	1108	1793
382	1110	1789
383	1113	1785
384	1114	1781
385	1116	1776
386	1118	1772
387	1120	1766
388	1121	1761
389	1122	1756
390	1124	1751
391	1126	1746
392	1129	1744
393	1131	1739
394	1132	1734
395	1134	1730
396	1136	1725
397	1138	1721
398	1141	1718
399	1143	1714
400	1145	1711
401	1147	1706
402	1148	1701
403	1150	1697
404	1152	1692
405	1154	1688
406	1156	1685
407	1158	1680
408	1160	1677
409	1163	1674
410	1166	1671
411	1169	1669
412	1172	1666
413	1175	1663
414	1177	1659
415	1179	1655
416	1183	1655
417	1186	1652
418	1191	1651
419	1193	1648
420	1196	1644
421	1198	1641
422	1201	1638
423	1204	1636
424	1207	1634
425	1212	1634
426	1215	1631
427	1221	1631
428	1223	1628
429	1226	1625
430	1228	1621
431	1231	1619
432	1234	1616
433	1237	1614
434	1240	1610
435	1242	1607
436	1244	1603
437	1247	1600
438	1251	1599
439	1253	1595
440	1255	1592
441	1258	1588
442	1260	1585
443	1268	1588
444	1271	1585
445	1274	1583
446	1277	1580
447	1279	1576
448	1284	1576
449	1286	1572
450	1289	1569
451	1291	1565
452	1293	1562
453	1296	1558
454	1300	1557
455	1306	1558
456	1308	1554
457	1310	1550
458	1312	1546
459	1315	1544
460	1318	1541
461	1320	1537
462	1322	1533
463	1324	1529
464	1325	1525
465	1328	1522
466	1331	1519
467	1333	1515
468	1335	1511
469	1337	1507
470	1339	1503
471	1340	1499
472	1342	1496
473	1346	1493
474	1348	1489
475	1350	1486
476	1352	1483
477	1354	1479
478	1356	1475
479	1358	1471
480	1362	1470
481	1366	1468
482	1368	1465
483	1370	1461
484	1372	1457
485	1374	1454
486	1380	1454
487	1383	1451
488	1385	1448
489	1388	1444
490	1390	1440
491	1393	1438
492	1395	1435
493	1396	1430
494	1398	1426
495	1400	1422
496	1401	1418
497	1403	1414
498	1405	1410
499	1406	1406
500	1410	1404
501	1411	1400
502	1413	1396
503	1415	1392
504	1417	1388
505	1418	1385
506	1420	1381
507	1422	1377
508	1428	1377
509	1430	1374
510	1433	1371
511	1434	1367
512	1435	1363
513	1437	1359
514	1441	1357
515	1442	1353
516	1444	1349
517	1446	1345
518	1448	1342
519	1449	1338
